79179	33886	94019	65386	4699	
43448	15904	30542	99899	72414	
78291	7953	53250	93258	41164	
92766	90124	11179	92408	74786	
1022	25428	62355	57433	45707	
62720	68978	90410	74883	74417	
50266	8386	92606	94110	31753	
49386	51235	57943	56920	53320	
37768	99142	56207	90594	42361	
90454	49151	84662	78186	1471	
97279	32243	30020	45766	14030	
53236	80994	10301	6233	46340	
94690	3320	47378	81105	5296	
98093	48815	63768	44705	61829	
2032	6818	79808	80787	19278	
28905	13040	80987	22839	1578	
88277	50891	23408	16726	63366	
6492	30122	81597	81335	58878	
54054	87175	20739	57221	95163	
60054	83876	3543	62790	64446	
27208	79306	59566	49250	80065	
34905	45115	26031	43133	86455	
